Número	NCidade	Local	Idade	Cidade	Tempo	Bairro	Cor	Religião	Religião_qual	Estudando	Estudo	Casa	Qualeotipodehabitacao	Habit_outro	Habit_alug	Comodos	Trabalho	Recursos	Renda_familiar	Renda_div_pessoa	Renda_da_familia	Classe	Civil
1	1	3	20	1	1	1	3	1	2	2	3	4	1		1	3	3		250	2	125	99	União estável
2	1	3	18	1	1	1	3	2		2	3	4	1		1	4	3		465	3	155	Média	Solteiro
3	1		20	2	2		3	1	2	2	3	3	1		1	3	3		480	1	480	Média	Casado
4	1	3	19	1	4	1	3	2		2	3	3	1		1	2	2	465	665	2	333	Baixa	Solteiro
5	1	3	17	2	4	1	1	1	1	2	5	3	1		1	3	1	465	1100	2	550	Baixa	Casado
6	1	2	17	1	2	1	1	1	2	2	3	4	1		1	6	2	50	695	3	232	Média	Casado
7	1	2	20	1	1	1	3	2		2	3	3	1		4	4	3		550	1	550	Baixa	Casado
8	1		19	1	1	1	3	2		2	5	9	1		1	5	3		500	2	250	Média	Solteiro
9	1	2	15	1	1		3	2		2	3	7	1		3	4	3		600	2	300	Média	Solteiro
10	1	2	19	1	1	1	1	1	1	2	5	3	1		1	3	3		300	1	300	Baixa	Casado
11	1	4	18	2	4	1	1	1	2	2	6	3	1		3	3	3		500	3	167	Baixa	Casado
12	1	3	18	1	1	1	3	2		2	3	5	1		1	4	3		1000	5	200	99	Solteiro
13	1	3	16	2	1	1	1	2		2	3	3	1		1	3	3		465	3	155	99	Solteiro
14	1	4	21	1	1	1	1	2		1	3	3	1		1	3	2	134	600	3	200	Média	Solteiro
15	1	1	20	1	1	1	3	1	2	2	5	5	1		1	3	3		750	5	150	Média	Solteiro
16	1	3	18	1	1	1	1	2		2	3	4	1		1	4	3		250	4	63	99	Solteiro
17	1	1	23	2	3	1	2	1	2	2	5	3	1		1	3	3		465			Baixa	Casado
18	1	4	19	1	1	1	2	2		1	5	4	1		1	3	3		900	4	225	Baixa	Solteiro
19	1	3	21	1	1	1	3	1	1	1	3	6	1		1	3	1	100	800	6	133	Baixa	Casado
20	1	2	18	1	1	2	1	1	1	1	5	5	1		1	3	3		730	5	146	Média	Casado
21	1	2	18	2	4	2	3	1	1	2	5	3	1		1	3	3		465	3	155	Baixa	União estável
22	1	4	18	2	2	1	3	2		1	3	7	1		3	3	4	150	600	7	86	Baixa	Solteiro
23	1	2	16	2	3	2	3	2		2	3	10	1		3	4	3		730	10	73	Baixa	Solteiro
24	1	2	22	1	1	2	2	1	1	2	5	8	1		3	3	1	200	500	8	63	Baixa	Solteiro
25	1	2	17	1	1	1	3	1	2	2	5	5	1		1	4	3			98		Média	União estável
26	1	4	20	2	4	2	1	2		2	3	6	1		2	3	2	100	400	6	67	Média	Solteiro
27	1	4	22	4	4	2	5	2		1	5	4	1		1		2	112	112	3	37	Baixa	Solteiro
28	1	2	19	1	1	2	1	2		1	5	5	1		3	3	1	240	700	5	140	Média	Solteiro
29	1	4	21	1	1	2	3	2		2	3	5	1		6	3	1	465	900	5	180	Baixa	99
30	1	3	21	2	3	2	3	1	1	2	5	2	1		3	3	1	550	800	2	400	Baixa	Solteiro
31	1	4	17	1	1	2	1	1	1	1	5	5	1		1	4	2	250	1000	5	200	Média	Solteiro
32	1	3	17	1	1	1	3	1	2	2	5	6	1		1	4	3		450	6	75	Baixa	Solteiro
33	1	4	18	1	1	1	3	2		2	3	7	1		1	1	3					99	Solteiro
34	1	3	19	1	1	1	1	2		2	4	3	1		2	3	3		80	3	27	Média	União estável
35	1	2	19	2	1	1	3	1	1	2	5	4	1		1	3	3		400	4	100	Baixa	Solteiro
36	1	2	18	1	2	1	3	2		2	3	3	1		3	3	3		400	3	133	99	União estável
37	1	4	21	1	1	1	3	1	1	2	5	3	1		1	3	2	190	190	3	63	Baixa	Solteiro
38	1	4	19	1	1	1	1	1	1	2	6	3	1		1	3	1	300	900	3	300	Baixa	União estável
39	1	4	22	1	1	1	2	2		2	6	9	1		1	4	2	90	400	9	44	Baixa	Solteiro
40	1	4	21	1	1	1	3	1	1	2	3	4	1		1	3	3		70	4	18	Baixa	União estável
41	1	2	19	1	1	1	1	2		2	3	2	1		1	3	3		250	2	125	Baixa	Solteiro
42	1	3	21	1	1	1	1	1	1	2	3	3	1		1	3	3		400	3	133	99	Solteiro
43	1	4	21	3	2	1	3	1	1	2	3	4	1		4	3	2	90	500	4	125	99	Casado
44	1	4	19	1	1	1	1	1	2	2	3	3	1		1	3	2	300	300	3	100	99	Solteiro
45	1	2	17	1	1	1	1	1	2	1	3	5	1		1	3	3		400	5	80	99	Casado
