"Número"	"NCidade"	"Local"	"Idade"	"Cidade"	"Tempo"	"Bairro"	"Cor"	"Religião"	"Religião_qual"	"Estudando"	"Estudo"	"Casa"	"Qualeotipodehabitacao"	"Habit_outro"	"Habit_alug"	"Comodos"	"Trabalho"	"Recursos"	"Renda_familiar"	"Renda_div_pessoa"	"Renda_da_familia"	"Classe"	"Civil"
"463"	459	2	1	20	1	1	1	98	2	NA	2	6	7	1	""	1	3	3	NA	400	7	57	"Popular"	"Solteira"
"269"	265	1	4	19	1	1	2	2	2	NA	2	3	3	1	""	3	3	3	NA	400	3	133	"Pobre"	"Solteira"
"358"	354	3	1	18	1	1	2	3	2	NA	2	5	5	1	""	1	3	3	NA	1400	5	280	"Biaxa"	"Solteira"
"153"	153	1	4	18	1	1	1	5	2	NA	2	5	4	1	""	1	3	4	250	450	4	113	"pior que tem"	"solteiro"
"38"	38	1	4	19	1	1	1	1	1	1	2	6	3	1	""	1	3	1	300	900	3	300	"Pobre"	"Mora Junto"
"185"	185	1	3	22	1	1	1	1	1	1	2	5	5	1	""	1	3	3	NA	965	5	193	"normal"	"casada"
"167"	167	1	3	20	1	1	1	3	1	2	2	6	5	1	""	1	4	1	460	1500	5	300	"média"	"solteiro"
"63"	63	1	2	20	2	1	1	99	2	NA	1	7	4	1	""	1	4	1	150	1000	99	10	"baixa"	"solteira"
"467"	463	2	3	22	1	1	1	3	1	2	2	6	3	1	""	1	3	3	NA	1800	3	600	"Média Baixa"	"Solteira"
"440"	436	2	1	19	2	2	1	3	2	NA	2	5	3	1	""	3	3	3	NA	510	3	170	"Baixa"	"Solteira"
"478"	474	2	2	19	1	1	1	3	2	NA	1	3	5	1	""	1	3	2	510	3810	5	762	"Baixa"	"Solteira"
"364"	360	3	1	20	1	1	1	2	1	1	2	5	3	1	""	1	3	1	NA	NA	NA	NA	"Baixa"	"Solteira"
"75"	75	1	2	15	1	1	1	3	1	2	1	5	3	1	""	1	3	3	NA	80	3	27	"pobre"	"solteiro"
"28"	28	1	2	19	1	1	2	1	2	NA	1	5	5	1	""	3	3	1	240	700	5	140	"Classe média"	"solteira"
"83"	83	1	3	21	2	2	1	1	2	NA	2	3	4	1	""	1	3	3	NA	350	4	88	"pobre"	"solteira"
"309"	305	1	4	19	1	1	1	2	1	1	1	5	4	1	""	1	4	2	250	1200	4	300	"Não sabe"	"Solteira"
"417"	413	2	4	16	1	2	1	3	2	NA	2	3	5	1	""	3	3	2	100	800	5	160	"Média"	"Separada"
"236"	236	2	2	17	1	1	1	3	1	1	2	3	3	1	""	1	3	3	NA	400	3	133	"média"	"solteira"
"505"	501	2	3	19	1	1	1	2	1	2	2	5	3	1	""	4	3	2	250	1150	3	383	"Média baixa"	"Casada"
"116"	116	1	3	18	1	1	1	3	1	2	1	5	4	1	""	1	4	2	30	300	4	75	"baixa"	"solteira"
"187"	187	1	2	17	1	1	1	1	1	3	1	5	7	1	""	2	3	2	150	1395	7	199	"não sabe"	"solteira"
"312"	308	1	3	18	1	1	1	3	1	1	2	3	3	3	""	3	3	3	NA	NA	3	NA	"Pobre"	"Amigada"
"360"	356	3	1	15	1	1	1	2	2	NA	2	3	8	1	""	1	4	2	1000	550	8	69	"Média"	"Solteira"
"481"	477	2	2	20	1	1	1	3	1	1	2	6	5	1	""	1	3	1	520	597	5	119	"Média"	"Solteira"
